"","datetime","country","shape"
"77903",2020-08-28,"us","changing"
"50816",2020-05-05,"ca","changing"
"62696",2020-07-14,"ca","changing"
"35992",2020-03-19,"us","changing"
"3643",2020-10-20,"us","changing"
"11931",2020-11-19,"us","changing"
"20582",2020-12-16,"us","changing"
"20583",2020-12-16,"us","changing"
"25377",2020-01-25,"ca","changing"
"39913",2020-04-11,"ca","changing"
"22254",2020-12-23,"us","changing"
"78960",2020-08-03,"us","changing"
"78961",2020-08-03,"us","changing"
"7058",2020-10-04,"ca","changing"
"41539",2020-04-16,"ca","changing"
"74307",2019-08-16,"us","changing"
"85306",2020-09-22,"us","changing"
"72232",2020-08-01,"us","changing"
"65506",2020-07-02,NA,"changing"
"51073",2020-05-06,"us","changing"
"51982",2020-06-11,"au","changing"
"32192",2019-02-28,NA,"changing"
"31760",2020-02-25,"us","changing"
"12132",2020-01-01,NA,"changing"
"35945",2020-03-19,"us","changing"
"14752",2020-11-27,"us","changing"
"69976",2020-07-05,"us","changing"
"84593",2020-09-20,"us","changing"
"54898",2020-06-15,NA,"changing"
"56976",2020-06-22,"us","changing"
"28138",2020-01-08,"us","changing"
"78000",2020-08-28,"us","changing"
"60237",2019-06-07,NA,"changing"
"83277",2019-09-16,"us","changing"
"6675",2019-10-03,"us","changing"
"13862",2019-11-23,"us","changing"
"32085",2020-02-27,NA,"changing"
"61296",2020-07-11,"gb","changing"
"55706",2020-06-18,"us","changing"
"62143",2020-07-12,NA,"changing"
"11763",2020-11-19,"us","changing"
"35649",2020-03-17,"us","changing"
"67991",2020-07-31,"us","changing"
"8378",2020-01-10,"us","changing"
"68781",2020-07-04,"us","changing"
"87472",2020-09-03,"us","changing"
"70933",2020-07-08,"us","changing"
"17049",2020-11-06,"us","changing"
"45310",2020-04-07,"us","changing"
"70004",2020-07-05,"us","changing"
"88645",2020-09-08,"us","changing"
"41187",2020-04-15,"us","changing"
"7427",2020-10-06,"us","changing"
"9459",2020-01-11,"us","changing"
"86443",2020-09-26,"us","changing"
"61332",2020-07-11,"us","changing"
"909",2020-10-01,NA,"changing"
"4973",2020-10-25,"us","changing"
"75850",2020-08-21,"us","changing"
"15208",2020-11-29,"us","changing"
"44018",2020-04-28,"us","changing"
"81578",2020-09-01,NA,"changing"
"19192",2019-12-01,NA,"changing"
"53260",2020-06-01,"us","changing"
"60311",2020-06-07,"us","changing"
"19686",2020-12-12,"us","changing"
"19780",2020-12-12,"us","changing"
"21924",2020-12-02,"us","changing"
"51033",2020-05-06,"us","changing"
"63392",2019-07-15,"us","changing"
"70504",2019-07-07,"us","changing"
"3567",2020-10-20,"ca","changing"
"86067",2020-09-25,"ca","changing"
"56212",2020-06-20,"us","changing"
"14926",2020-11-28,"us","changing"
"75491",2019-08-20,NA,"changing"
"51177",2019-05-07,"us","changing"
"60603",2020-06-08,"us","changing"
"65042",2020-07-20,"us","changing"
"25888",2020-01-27,"gb","changing"
"30204",2020-02-17,"us","changing"
"12242",2020-01-01,"us","changing"
"14414",2020-11-25,"us","changing"
"51082",2020-05-06,"us","changing"
"69778",2020-07-04,"us","changing"
"77860",2019-08-28,"us","changing"
"81245",2020-09-11,"us","changing"
"661",2019-10-01,"us","changing"
"11556",2020-11-18,"us","changing"
"21581",2020-12-21,"us","changing"
"41467",2020-04-16,"us","changing"
"2957",2020-10-17,"ca","changing"
"39070",2019-03-07,"us","changing"
"63964",2020-07-16,"us","changing"
"13372",2020-11-02,"us","changing"
"16228",2020-11-04,"us","changing"
"41363",2020-04-16,"us","changing"
"9102",2019-11-01,"us","changing"
"52520",2019-06-01,"us","changing"
"16587",2020-01-15,"us","changing"
"39367",2020-03-08,"us","changing"
"38551",2020-03-04,"us","changing"
"63675",2020-07-15,"us","changing"
"85372",2020-09-22,"us","changing"
"35073",2019-03-15,NA,"changing"
"44583",2020-04-03,"us","changing"
"28443",2020-02-10,"us","changing"
"32821",2020-02-05,"us","changing"
"44045",2020-04-28,"us","changing"
"18274",2020-01-19,"us","changing"
"37296",2020-03-25,"us","changing"
"68188",2020-07-03,"us","changing"
"74662",2020-08-17,NA,"changing"
"8813",2020-11-11,"us","changing"
"17810",2020-11-08,"us","changing"
"4791",2020-10-24,"us","changing"
"14103",2020-11-24,"us","changing"
"7511",2020-10-06,"us","changing"
"12247",2020-01-01,"us","changing"
"30538",2020-02-19,"us","changing"
"71151",2020-07-09,"us","changing"
"1306",2020-10-12,"us","changing"
"4274",2020-10-22,"us","changing"
"28660",2020-02-11,"us","changing"
"39267",2019-03-08,"us","changing"
"46845",2020-05-13,"us","changing"
"70378",2020-07-06,"us","changing"
"76404",2020-08-22,"us","changing"
"58996",2019-06-30,NA,"changing"
"87124",2020-09-29,"us","changing"
"1771",2020-10-14,"us","changing"
"32755",2020-02-05,"us","changing"
"19023",2020-12-11,"us","changing"
"3872",2020-10-21,"us","changing"
"85818",2020-09-24,"us","changing"
"4978",2020-10-25,"us","changing"
"15223",2020-11-29,"us","changing"
"24507",2020-01-23,"us","changing"
"80408",2020-08-08,NA,"changing"
"26395",2019-12-09,NA,"changing"
"66842",2020-07-26,"us","changing"
"30891",2020-02-21,"us","changing"
